"","age","job.blue.collar","job.entrepreneur","job.housemaid","job.management","job.retired","job.self.employed","job.services","job.student","job.technician","job.unemployed","job.unknown","marital.married","marital.single","education.secondary","education.tertiary","education.unknown","default.yes","balance","housing.yes","loan.yes","contact.telephone","contact.unknown","day","month.aug","month.dec","month.feb","month.jan","month.jul","month.jun","month.mar","month.may","month.nov","month.oct","month.sep","duration","campaign","pdays","previous","poutcome.other","poutcome.success","poutcome.unknown"
"62",63,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,415,1,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,323,1,-1,0,0,0,1
"111",21,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2488,0,0,0,0,30,0,0,0,0,0,1,0,0,0,0,0,258,6,169,3,0,1,0
"195",23,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,9216,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,471,2,-1,0,0,0,1
"200",75,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,3771,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,185,1,181,2,0,1,0
"201",34,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,992,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,301,1,88,2,0,1,0
"265",58,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,883,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,543,1,78,2,0,0,0
"299",38,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,593,1,1,0,0,24,0,0,0,0,1,0,0,0,0,0,0,1484,24,-1,0,0,0,1
"324",38,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1199,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,178,1,1,1,0,1,0
"339",63,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1084,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,201,1,183,1,0,1,0
"355",29,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,318,1,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0,1434,2,356,4,0,0,0
"360",26,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2572,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,620,1,-1,0,0,0,1
"370",30,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,946,1,0,0,0,19,0,0,0,0,0,0,0,0,1,0,0,1065,1,183,1,1,0,0
"465",32,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,889,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,185,1,99,5,0,1,0
"495",44,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,244,1,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,1735,4,-1,0,0,0,1
"518",36,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1925,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,904,2,-1,0,0,0,1
"520",61,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,5207,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,336,1,81,2,1,0,0
"556",37,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1314,1,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,682,2,85,7,0,1,0
"646",46,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,548,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,1181,4,-1,0,0,0,1
"666",54,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,1,0,0,986,1,94,8,0,0,0
"863",41,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1020,1,0,0,1,19,0,0,0,0,0,0,0,1,0,0,0,882,1,-1,0,0,0,1
"881",26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,255,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,457,1,80,1,0,1,0
"985",59,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2013,0,0,0,0,19,0,0,1,0,0,0,0,0,0,0,0,222,4,94,2,0,1,0
"1057",63,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3904,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,250,2,187,2,0,1,0
"1084",64,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,768,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,250,2,182,1,0,1,0
"1086",33,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,661,1,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0,968,1,-1,0,0,0,1
"1125",37,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,189,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,238,1,107,2,0,1,0
"1143",60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,366,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,593,1,-1,0,0,0,1
"1187",71,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,383,0,0,0,0,27,0,0,0,0,0,0,0,0,0,1,0,327,2,183,3,0,1,0
"1320",49,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1623,1,0,0,0,19,0,0,0,0,0,0,0,0,1,0,0,1081,2,-1,0,0,0,1
"1356",29,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1448,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,217,1,184,7,1,0,0
"1412",35,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1174,1,345,4,1,0,0
"1413",57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4012,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,915,1,-1,0,0,0,1
"1419",38,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2253,1,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,937,3,-1,0,0,0,1
"1432",59,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,351,1,0,0,1,27,0,0,0,0,0,0,0,1,0,0,0,1063,5,-1,0,0,0,1
"1450",31,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1224,1,1,0,0,24,0,0,0,0,1,0,0,0,0,0,0,1441,2,-1,0,0,0,1
"1486",29,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,113,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,328,2,183,4,0,1,0
"1737",40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,100,1,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,221,1,461,1,0,1,0
"1763",35,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,44,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,310,2,96,2,1,0,0
"1873",34,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,247,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,401,2,-1,0,0,0,1
"2056",48,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,568,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,378,2,386,1,0,1,0
"2069",47,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1167,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,968,1,87,5,0,0,0
"2226",31,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,96,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,577,1,-1,0,0,0,1
"2229",47,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,3973,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,732,2,-1,0,0,0,1
"2252",37,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,238,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,185,1,92,1,0,1,0
"2267",55,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,1,180,2,238,3,0,1,0
"2634",50,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1200,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,904,3,-1,0,0,0,1
"2712",47,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,677,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,384,1,99,4,0,1,0
"2732",48,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1159,1,1,0,0,15,0,0,0,0,0,0,0,1,0,0,0,1181,9,-1,0,0,0,1
"2752",42,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,656,2,-1,0,0,0,1
"2852",32,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1625,0,0,0,0,22,0,0,0,0,0,0,0,1,0,0,0,796,1,109,1,0,0,0
"2876",29,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,778,1,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,1994,2,-1,0,0,0,1
"2905",39,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,894,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,491,1,326,1,1,0,0
"2986",34,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,16,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,990,1,-1,0,0,0,1
"3077",33,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,925,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,884,3,-1,0,0,0,1
"3089",31,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2544,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,252,1,184,3,0,1,0
"3092",38,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,376,1,0,0,1,7,0,0,0,0,0,0,0,1,0,0,0,1521,1,-1,0,0,0,1
"3257",36,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,495,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,213,3,182,6,0,1,0
"3305",64,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,846,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,671,1,181,3,0,0,0
"3414",33,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,61,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,836,3,-1,0,0,0,1
"3425",55,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,-308,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,781,1,-1,0,0,0,1
"3590",38,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3576,0,0,0,0,25,0,0,0,0,0,0,0,0,1,0,0,349,2,183,1,0,1,0
"3654",29,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,84,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1101,2,-1,0,0,0,1
"3744",42,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-247,1,1,1,0,21,0,0,0,0,0,0,0,0,0,1,0,519,1,166,1,1,0,0
"3819",53,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,765,1,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,959,3,174,7,1,0,0
"3844",50,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,341,1,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,670,4,340,2,0,1,0
"3854",54,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,-315,0,1,0,0,10,0,0,0,0,1,0,0,0,0,0,0,2029,1,-1,0,0,0,1
"3874",50,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3304,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,1009,2,-1,0,0,0,1
"3944",45,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1757,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,1010,3,326,1,1,0,0
"4078",31,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,29,0,0,0,1,0,0,0,0,0,0,0,821,1,-1,0,0,0,1
"4094",69,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2144,0,0,0,0,29,0,0,0,0,1,0,0,0,0,0,0,417,1,184,4,0,1,0
"4124",47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,1,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,2456,2,-1,0,0,0,1
"4160",53,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,94,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,493,1,181,14,0,1,0
"4276",53,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,15,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,921,2,-1,0,0,0,1
"4324",83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,0,0,0,0,0,0,0,1,0,0,0,664,1,77,3,0,1,0
"4328",55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,653,0,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,800,1,-1,0,0,0,1
"4408",45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,59,1,0,0,0,24,0,0,0,0,1,0,0,0,0,0,0,873,8,-1,0,0,0,1
"4460",31,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,223,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,508,1,315,11,0,1,0
